Estado - Sigla,Valor de Venda - Media
AC,3.021364672364672
AL,2.6993123312331235
AM,2.6348420875420873
AP,2.7376411889596604
BA,2.6618805576901963
CE,2.6512952380952384
DF,2.6814705459770116
ES,2.626704109589041
GO,2.6024655897694764
MA,2.6111543408360127
MG,2.509945776674378
MS,2.7084350553505536
MT,2.7716486013986015
PA,2.787178259560373
PB,2.419431065842124
PE,2.5968283819262123
PI,2.5704426652892565
PR,2.524630938914027
RJ,2.593678104239436
RN,2.5828022188217292
RO,2.738889447236181
RR,2.7204009720534628
RS,2.594607002468233
SC,2.5468107088989442
SE,2.5698181083265967
SP,2.433156602323198
TO,2.7189931573802544
Total,2.554416751350812
