Estado - Sigla,Valor de Venda - Media
AC,4.867050485436893
AL,4.578963744232037
AM,4.4402516323455545
AP,3.919535519125683
BA,4.570488398161641
CE,4.5682379156667805
DF,4.297568739770868
ES,4.510161822985469
GO,4.556437152016197
MA,4.410107489815105
MG,4.711782948717949
MS,4.230740837696335
MT,4.506637782045127
PA,4.687808397200933
PB,4.352676381299332
PE,4.376475771785854
PI,4.579228050171038
PR,4.221734330192544
RJ,4.87255091219556
RN,4.5574181060154855
RO,4.5332713910761155
RR,4.141615384615385
RS,4.533821583801547
SC,4.072053373768006
SE,4.3722495636998255
SP,4.183653999085923
TO,4.631730514096186
Total,4.425179229164785
