Estado - Sigla,Valor de Venda - Media
AC,3.2072307692307693
AL,2.761363744545815
AM,2.9467469175859833
AP,2.7901213080168774
BA,2.76520863962247
CE,2.7791573089700994
DF,2.8288057692307693
ES,2.858501417577967
GO,2.802734107488462
MA,2.741699137493658
MG,2.8443912221836554
MS,2.870055882352941
MT,2.9715603400987387
PA,2.9415873264228436
PB,2.614929181929182
PE,2.7500450315910396
PI,2.6220705970709726
PR,2.723998913560128
RJ,2.879367416956906
RN,2.705085568760611
RO,2.9679593044765076
RR,2.8947486033519554
RS,2.795688304420817
SC,2.717645248057382
SE,2.7789192200557102
SP,2.6437691177894704
TO,2.898311728395062
Total,2.764616856026271
