Estado - Sigla,Valor de Venda - Media
AC,2.9885619955979457
AL,2.781615956727519
AM,2.512356234096692
AP,2.424398454746137
BA,2.611688256048387
CE,2.654440846425136
DF,2.5881181342632957
ES,2.609875132837407
GO,2.5325415249433108
MA,2.721133893280632
MG,2.492353692079836
MS,2.7329091639871383
MT,2.874110444177671
PA,2.7343455368937537
PB,2.452245753715499
PE,2.5875022648267145
PI,2.6236070808746965
PR,2.4485353553698994
RJ,2.5605928766110777
RN,2.526143149284253
RO,2.725904492394765
RR,2.6424633165829143
RS,2.57130301838008
SC,2.5368775418391216
SE,2.5329614935822637
SP,2.416571123836793
TO,2.6941246105919
Total,2.530756667860547
