Estado - Sigla,Valor de Venda - Media
AC,3.5036614466815807
AL,3.0129785491419656
AM,3.283524366471735
AP,3.1145432432432436
BA,3.020855051767226
CE,3.085585188850404
DF,3.1434263888888885
ES,3.0365502720128954
GO,3.102292675852067
MA,3.0530240804445623
MG,3.031267590536712
MS,3.1069614388489213
MT,3.1079385941991116
PA,3.2203053557154275
PB,2.8891400980993254
PE,2.9545267898383374
PI,2.8805396240324366
PR,2.9727872693482014
RJ,3.1686944076601815
RN,3.0473247724317294
RO,3.2404499424626003
RR,3.1326829810901002
RS,3.0116083803384366
SC,2.9708089115713023
SE,2.966210843373494
SP,2.892588559255168
TO,3.1017880126182966
Total,3.0105606451409126
