Estado - Sigla,Valor de Venda - Media
AC,4.3250682382134
AL,3.8114567749846717
AM,3.8845128893662726
AP,3.6690678336980302
BA,3.7404781013257575
CE,3.8894705550329256
DF,3.5879875565610857
ES,3.7248985554826
GO,3.805810010960906
MA,3.611561310452418
MG,3.8140606764781824
MS,3.6899644859813088
MT,3.7050843237125073
PA,4.123086986537798
PB,3.6063853524982887
PE,3.5770866322432586
PI,3.61063747703613
PR,3.6624366061899685
RJ,4.008580327259204
RN,3.8187698259187624
RO,3.972678861788618
RR,3.7333076923076924
RS,3.848030850955154
SC,3.6191082992769568
SE,3.5734012474012475
SP,3.5375354817322946
TO,3.778769593956563
Total,3.716019898069441
