Estado - Sigla,Valor de Venda - Media
AC,3.1974626202812733
AL,2.7707230158730156
AM,2.9422086956521736
AP,2.787637265711136
BA,2.775574642310807
CE,2.759240465744178
DF,2.8431442307692305
ES,2.862865157078743
GO,2.842144389065096
MA,2.726062790697674
MG,2.8512631763605176
MS,2.7866165590135057
MT,2.982390782122905
PA,2.939830980392157
PB,2.598900993171943
PE,2.7271267507813404
PI,2.6196853333333334
PR,2.7248519048592654
RJ,2.8796108884609377
RN,2.7074697173620454
RO,2.9769715994020927
RR,2.885803097345133
RS,2.7958518750391286
SC,2.7375874412558745
SE,2.7519959183673466
SP,2.6578762674527843
TO,2.914594321766562
Total,2.769025900701407
