Estado - Sigla,Valor de Venda - Media
AC,4.502300898203592
AL,3.949256097560976
AM,4.047515518546556
AP,3.7116076923076924
BA,3.904569355446664
CE,3.9896848121937944
DF,3.8971200453001136
ES,3.867391825613079
GO,4.029364725550292
MA,3.639061538461539
MG,3.97420020580837
MS,3.7982209688122097
MT,3.8951256767208045
PA,4.135156806433084
PB,3.7204457953394123
PE,3.803484359233098
PI,3.742766267123288
PR,3.8388493723849373
RJ,4.209073909716909
RN,3.8886592664092663
RO,3.9991937919463085
RR,3.7850897435897437
RS,4.019700860706131
SC,3.6998581288343555
SE,3.792328125
SP,3.6591452977994723
TO,3.9759352517985613
Total,3.862381320531927
