Estado - Sigla,Valor de Venda - Media
AC,2.9888157552083334
AL,2.8002726545842216
AM,2.543040399744844
AP,2.579827674023769
BA,2.6670017090365308
CE,2.6818596156467223
DF,2.560210978342046
ES,2.6778476541189304
GO,2.588037637661866
MA,2.739156616052061
MG,2.5209388265027717
MS,2.7303393291200777
MT,2.946611152555017
PA,2.691263874702077
PB,2.6084025944978753
PE,2.624433858747714
PI,2.548754345307068
PR,2.4617511868193245
RJ,2.5718246326645944
RN,2.5724020594430144
RO,2.7320088820826953
RR,2.7125507868383405
RS,2.6261504242735922
SC,2.570687723229918
SE,2.5374626517273575
SP,2.452806273710063
TO,2.728603676048248
Total,2.560446560675097
