Estado - Sigla,Valor de Venda - Media
AC,3.046044839857651
AL,2.6916108048511576
AM,2.6273882740053844
AP,2.710861415752742
BA,2.652016541353383
CE,2.599529554515514
DF,2.6724638949671773
ES,2.664967794871795
GO,2.601866758662987
MA,2.651320431806214
MG,2.4940017823239957
MS,2.7001905817174516
MT,2.740990188062142
PA,2.812958746529155
PB,2.4314722057953873
PE,2.5772829927260132
PI,2.5890843727072634
PR,2.4673386513942863
RJ,2.5887575967957277
RN,2.6024362934362935
RO,2.7291069852941177
RR,2.7555764705882355
RS,2.579408975336893
SC,2.5339333800841515
SE,2.5383480362537765
SP,2.4198116640873177
TO,2.72513282247765
Total,2.5429371327271055
