Estado - Sigla,Valor de Venda - Media
AC,3.462041479820628
AL,2.9914094488188976
AM,3.1764543726235743
AP,3.0348353982300886
BA,3.037445694915254
CE,3.0023868222708487
DF,3.094252616887648
ES,3.0160048207291354
GO,3.109384069225649
MA,2.980121951219512
MG,3.0306457878404784
MS,3.150585744234801
MT,3.1427624223602484
PA,3.177343120322395
PB,2.8464868421052634
PE,2.9372036974789917
PI,2.8277910038398244
PR,3.0120018986709303
RJ,3.1242196216256635
RN,2.991670009551098
RO,3.2012706896551726
RR,3.1103175895765474
RS,3.0062548620114837
SC,2.996219155601969
SE,2.9319216683621567
SP,2.881779036621896
TO,3.110809433962264
Total,2.9995803335856066
