Estado - Sigla,Valor de Venda - Media
AC,3.173417159763314
AL,2.8330516836335162
AM,2.8196154589371982
AP,2.9025091277890462
BA,2.785415158880187
CE,2.7806164360445496
DF,2.825185185185185
ES,2.869302330253114
GO,2.86833127726794
MA,2.7413084112149533
MG,2.7831152637093957
MS,2.8120676582093904
MT,2.915298614958449
PA,2.908464173844949
PB,2.572783741368487
PE,2.6914708361813626
PI,2.696612636329447
PR,2.7069586760008155
RJ,2.8432188063182444
RN,2.751330135626861
RO,2.9477415982076174
RR,2.924961864406779
RS,2.764432900705645
SC,2.715391706443914
SE,2.7118978897208987
SP,2.6366239718168747
TO,2.8897165706973773
Total,2.7470508996856906
