Estado - Sigla,Valor de Venda - Media
AC,3.2920658284023667
AL,2.872373317013464
AM,3.0448123204596236
AP,2.9369613130128958
BA,2.934933803332723
CE,2.89917135023989
DF,2.958784134615385
ES,2.9308427608740044
GO,2.916401300510915
MA,2.8812624470338983
MG,2.9409628438728115
MS,3.0148751848565514
MT,3.0345920177383596
PA,3.0555039117352054
PB,2.759187244737669
PE,2.832896981703764
PI,2.7416204658266516
PR,2.8745113955239203
RJ,3.007859966534198
RN,2.8692040816326534
RO,3.0585946582875096
RR,3.0094865810968496
RS,2.9000563723956705
SC,2.845685759904201
SE,2.8979007686932214
SP,2.7553558511676317
TO,3.01907001321004
Total,2.880841618041683
