Estado - Sigla,Valor de Venda - Media
AC,2.6799051512673753
AL,2.4500855534709194
AM,2.4988478391356543
AP,2.4359838709677417
BA,2.371218732738894
CE,2.3992151644192097
DF,2.254640170940171
ES,2.308638963360143
GO,2.341905397210431
MA,2.294650499001996
MG,2.252343864716856
MS,2.5198309700652715
MT,2.6829183832102603
PA,2.4732396106327217
PB,2.294268490923869
PE,2.3049648245326337
PI,2.431074087459342
PR,2.2523098778004074
RJ,2.310011012824612
RN,2.258385402267072
RO,2.5583552384528727
RR,2.424366013071895
RS,2.5140870687183408
SC,2.381416635639288
SE,2.2797068667051357
SP,2.1908613038491187
TO,2.4476957715540912
Total,2.302126128920362
