Estado - Sigla,Valor de Venda - Media
AC,3.0719826283987914
AL,2.728698060941828
AM,2.664336187026671
AP,2.8686460280373836
BA,2.711811928283937
CE,2.7164367423595697
DF,2.7071921587608907
ES,2.7023679935012184
GO,2.624479794933655
MA,2.644429359243697
MG,2.5679805533904907
MS,2.719382842135979
MT,2.800921628357796
PA,2.847824485596708
PB,2.4835053037608485
PE,2.6224682457947135
PI,2.555938491295938
PR,2.5704859542825664
RJ,2.66761061203047
RN,2.674850909090909
RO,2.8090496987951807
RR,2.841634090909091
RS,2.6349508423434753
SC,2.5715863994416193
SE,2.610032786885246
SP,2.4793593645403043
TO,2.8092785388127854
Total,2.6028743941103873
