Estado - Sigla,Valor de Venda - Media
AC,4.865790374331551
AL,4.346427974947808
AM,4.50912284602557
AP,4.063624036979969
BA,4.3431488059522385
CE,4.415722344726204
DF,4.303227826086957
ES,4.21325034106412
GO,4.471068169807998
MA,3.9861301003344485
MG,4.581530627871363
MS,4.237313425925926
MT,4.29986878061356
PA,4.438943193997857
PB,4.05051326259947
PE,4.207223133362106
PI,4.287144128113879
PR,4.243282803943044
RJ,4.7537732206320245
RN,4.280172990353698
RO,4.402853754940711
RR,4.179138888888889
RS,4.456074840413824
SC,4.026646693227091
SE,4.1883638190954775
SP,4.103917138257391
TO,4.470145759717314
Total,4.3078015216829035
