Estado - Sigla,Valor de Venda - Media
AC,4.998916329284751
AL,4.569367367367367
AM,4.230233222591362
AP,3.6117703862660946
BA,4.441534883720931
CE,4.474893008130081
DF,4.453921568627451
ES,4.269309803921568
GO,4.483106124001521
MA,4.252930369576862
MG,4.4274894863840055
MS,4.475735606060606
MT,4.3821065749892565
PA,4.462820754716981
PB,4.234800422386484
PE,4.408363883847549
PI,4.4923356890459365
PR,4.123774910845396
RJ,4.806285553591516
RN,4.671816
RO,4.44268376068376
RR,4.13349710982659
RS,4.419686287477954
SC,4.248402484830973
SE,4.474746478873239
SP,4.1259473753511235
TO,4.600544464609801
Total,4.341810473122311
