Estado - Sigla,Valor de Venda - Media
AC,6.064470103092783
AL,5.54049441504997
AM,5.1793172557172555
AP,4.620336956521739
BA,5.547303883909518
CE,5.50391610048981
DF,5.477021248915872
ES,5.507765840220386
GO,5.674959244830686
MA,5.192753606237817
MG,5.708161010677662
MS,5.475075598086124
MT,5.413030809648913
PA,5.614135523613963
PB,5.213405786873676
PE,5.369443540669857
PI,5.66335150873478
PR,5.214638040098639
RJ,5.948380629357453
RN,5.642050758459743
RO,5.514646163601776
RR,5.127472271914132
RS,5.594421843687375
SC,5.200159869008633
SE,5.421693570451436
SP,5.191400008076892
TO,5.709990873533247
Total,5.4101181879412765
