Estado - Sigla,Valor de Venda - Media
AC,4.185214640198511
AL,3.817637790332706
AM,3.929990346394094
AP,3.681822055137845
BA,3.776886028551369
CE,3.9261518819746546
DF,3.5563970588235296
ES,3.7236332895600786
GO,3.798888420666911
MA,3.633919615145872
MG,3.7880989337641355
MS,3.5883972922502334
MT,3.7259697478991596
PA,4.107734612839179
PB,3.6624088769334233
PE,3.703012223515716
PI,3.6565955882352945
PR,3.686933769858308
RJ,3.95080957663154
RN,3.8335206451612907
RO,3.933222929936306
RR,3.860210970464135
RS,3.8752401060791515
SC,3.5618341772151902
SE,3.595869306930693
SP,3.5235767289786053
TO,3.8396325187969924
Total,3.7143691006322057
