Estado - Sigla,Valor de Venda - Media
AC,3.981429988974642
AL,3.511604194857916
AM,3.773956150341686
AP,3.4451767676767675
BA,3.6042543894920254
CE,3.5855912459471977
DF,3.598237976782753
ES,3.5098017361111107
GO,3.4984257226081112
MA,3.4029408887077053
MG,3.505087388759721
MS,3.429725443219933
MT,3.4800510105871028
PA,3.696998251748252
PB,3.289826112073946
PE,3.508540137614679
PI,3.378257261410788
PR,3.407301465110504
RJ,3.6347270184238454
RN,3.449968476357268
RO,3.710518087855297
RR,3.631965517241379
RS,3.4652427517802646
SC,3.3408593214530504
SE,3.42834994807892
SP,3.2809645746648175
TO,3.5775435294117646
Total,3.4519404694523956
