Estado - Sigla,Valor de Venda - Media
AC,2.3775692695214103
AL,2.1455922444183315
AM,2.048094527363184
AP,2.207699228791774
BA,2.0739245672952724
CE,2.1621188080495357
DF,2.0522003659652333
ES,2.0378657718120805
GO,2.017947973188637
MA,2.0281698360655738
MG,2.00718061843753
MS,2.132728448275862
MT,2.37759249841068
PA,2.2803014440433214
PB,2.044609798775153
PE,2.030039363920751
PI,2.121216924910608
PR,2.0066653014416773
RJ,2.03444436020063
RN,2.02198381294964
RO,2.318653349001175
RR,1.9975794621026894
RS,2.17176047626411
SC,2.1120327947914155
SE,1.9850528375733854
SP,1.9271312978485189
TO,2.092759535655058
Total,2.0279251482041247
