Estado - Sigla,Valor de Venda - Media
AC,4.141822139303483
AL,3.835935582822086
AM,3.9285977620730272
AP,3.6305199999999997
BA,3.796033451712682
CE,3.9334316682375117
DF,3.825537330316742
ES,3.71221862745098
GO,3.8293610547667343
MA,3.661407706650093
MG,3.7944528034979426
MS,3.6427978474496956
MT,3.7347180273056564
PA,4.082429372937294
PB,3.717947196870926
PE,3.7817170102099786
PI,3.759177655677656
PR,3.6955070331794264
RJ,3.938007225567392
RN,3.8457309677419356
RO,3.9486285384171
RR,3.897016806722689
RS,3.9366590007123237
SC,3.522815077116777
SE,3.71224358974359
SP,3.553978645746925
TO,3.891168107588857
Total,3.736527463087788
