Estado - Sigla,Valor de Venda - Media
AC,2.754502912621359
AL,2.649826787512588
AM,2.6801358146413605
AP,2.5045579171094583
BA,2.4719790314923245
CE,2.550604164256796
DF,2.4363964365256123
ES,2.4215385658914728
GO,2.432290213342364
MA,2.453629523262493
MG,2.363030596700483
MS,2.6320985874043554
MT,2.8208041040324505
PA,2.589673546856465
PB,2.406058001189768
PE,2.458141991628112
PI,2.4702260943476415
PR,2.3769223295288264
RJ,2.4325713609569295
RN,2.4321052335396733
RO,2.6604856596558317
RR,2.716989926739927
RS,2.6891634916492695
SC,2.4892924653299175
SE,2.40389798206278
SP,2.2998261037456555
TO,2.563648
Total,2.427844091419845
