Estado - Sigla,Valor de Venda - Media
AC,6.755981598619896
AL,6.408150537634409
AM,6.2863765353663705
AP,5.499645833333334
BA,6.442472002497919
CE,6.423123827589841
DF,6.620054184549357
ES,6.454625623960067
GO,6.686064315701091
MA,6.214061178587494
MG,6.631856053811659
MS,6.302815939278937
MT,6.360762691447255
PA,6.498622385528547
PB,6.167051806704397
PE,6.328507580091534
PI,6.792801026450849
PR,6.135744699095728
RJ,6.893496402384705
RN,6.659848678943154
RO,6.3439147455415394
RR,5.99832784184514
RS,6.615388179903358
SC,6.114183499851618
SE,6.398221423905944
SP,6.0287332954003725
TO,6.513242756460454
Total,6.337136660146297
