Estado - Sigla,Valor de Venda - Media
AC,4.924828402366864
AL,4.578798784604997
AM,4.297192490745637
AP,3.974709459459459
BA,4.573642816256439
CE,4.537695614035088
DF,4.275470540098199
ES,4.473966511936339
GO,4.500152815013405
MA,4.362138277812696
MG,4.718622624257071
MS,4.200477141588992
MT,4.483378883495146
PA,4.612813891658359
PB,4.241280172413793
PE,4.359808161632326
PI,4.565644721906924
PR,4.2531146290491115
RJ,4.865334497014239
RN,4.404878602084611
RO,4.5588248648648655
RR,4.088281065088757
RS,4.565693363114231
SC,4.1202528928136415
SE,4.3912175883952855
SP,4.1576174840285605
TO,4.553796822742475
Total,4.412005233349965
