Estado - Sigla,Valor de Venda - Media
AC,3.056801963993453
AL,2.7169323575949367
AM,2.719551633986928
AP,2.890795549374131
BA,2.725879888527636
CE,2.681798851574735
DF,2.7147379349046012
ES,2.691967692643528
GO,2.613903019485349
MA,2.637272575250836
MG,2.5695700919371895
MS,2.69007868852459
MT,2.811085348901863
PA,2.849466010928962
PB,2.4267452434698487
PE,2.610406906206253
PI,2.5628467543138864
PR,2.56496336710834
RJ,2.6865310937587776
RN,2.6707785145888594
RO,2.7891267291387773
RR,2.8362499999999997
RS,2.633430851406139
SC,2.6031866856677524
SE,2.6230925553319917
SP,2.489199177049939
TO,2.8218579881656805
Total,2.604925107763245
