Estado - Sigla,Valor de Venda - Media
AC,3.34453671071953
AL,2.891952399685287
AM,3.0831094000641643
AP,2.9416154776299877
BA,2.909547134272132
CE,2.923000332557366
DF,3.0019222222222224
ES,2.9150741106719367
GO,2.934498108815828
MA,2.895282325937261
MG,2.9420004944657867
MS,3.049696449704142
MT,3.0327454888230543
PA,3.091285912148793
PB,2.7958125778331255
PE,2.8653077966101694
PI,2.759120481927711
PR,2.8700756375258005
RJ,3.0267933391581434
RN,2.8951612031091583
RO,3.0980403926009816
RR,3.0406520307354556
RS,2.912693201167599
SC,2.8713198791069514
SE,2.895408010862186
SP,2.755713247455471
TO,3.0362710576314123
Total,2.8899889600799975
