Estado - Sigla,Valor de Venda - Media
AC,4.750260273972603
AL,4.4092800546448085
AM,4.525138073158166
AP,3.4943404255319153
BA,4.391983544303797
CE,4.373730978738359
DF,4.07672504091653
ES,4.241181424766977
GO,4.346453284305532
MA,4.204434608985025
MG,4.491877134471718
MS,4.300915662650603
MT,4.327342905405406
PA,4.497977104614301
PB,3.9863228840125395
PE,4.20471106639839
PI,4.398482446206116
PR,4.043893639207508
RJ,4.77207637342242
RN,4.32335009310987
RO,4.370438291139241
RR,3.9437299703264097
RS,4.366574581589958
SC,4.121219251336899
SE,4.325986326344576
SP,4.078804413734753
TO,4.460148023549201
Total,4.279539286639033
