Estado - Sigla,Valor de Venda - Media
AC,3.812214117647059
AL,3.2651605295821264
AM,3.5971505039972196
AP,3.4116918687589157
BA,3.4071803001876173
CE,3.3723540351475862
DF,3.462914
ES,3.3216919682259487
GO,3.3640893778452203
MA,3.33033247790134
MG,3.3414602970177483
MS,3.3724535519125687
MT,3.3206091733040375
PA,3.523616732369689
PB,3.132716070222822
PE,3.247226446877632
PI,3.2119683885890513
PR,3.2550646478873237
RJ,3.4723948818682815
RN,3.2787417791623397
RO,3.5276769874476983
RR,3.4678414322250637
RS,3.3151956898210506
SC,3.217407046632124
SE,3.281975159687722
SP,3.135957919086524
TO,3.40751404494382
Total,3.2905060778638515
