Estado - Sigla,Valor de Venda - Media
AC,2.5347554179566565
AL,2.275319140919367
AM,2.2964855138761817
AP,2.3351083142639206
BA,2.262786886539372
CE,2.280890559732665
DF,2.146813578500707
ES,2.183447332250406
GO,2.176509356957993
MA,2.140612922705314
MG,2.1478744825943243
MS,2.388900224215247
MT,2.57280316344464
PA,2.380497487437186
PB,2.134335529928611
PE,2.1936980290372294
PI,2.259037558685446
PR,2.1650444835385776
RJ,2.1856517402135234
RN,2.1826331574562623
RO,2.450780239738467
RR,2.1942073800738005
RS,2.319576587320517
SC,2.2611049936929586
SE,2.145800822561692
SP,2.074058371091242
TO,2.309254632080466
Total,2.1784209472818894
