Estado - Sigla,Valor de Venda - Media
AC,5.167061325420376
AL,4.756546875
AM,4.727344173441735
AP,4.092228609625669
BA,4.711835815725666
CE,4.624133509700176
DF,4.586594749794914
ES,4.613958827404479
GO,4.757141402337229
MA,4.401254447268107
MG,4.86520695353295
MS,4.34671284965035
MT,4.696031325886353
PA,4.732648911222781
PB,4.46385286935287
PE,4.477917747163695
PI,4.649952214452215
PR,4.432987167350373
RJ,4.977769230769231
RN,4.563873677660236
RO,4.677016720604099
RR,4.340813609467456
RS,4.7791294254822985
SC,4.226319311080628
SE,4.6094747474747475
SP,4.358842369148587
TO,4.825193629505448
Total,4.5822994152269185
