Estado - Sigla,Valor de Venda - Media
AC,2.980655817174515
AL,2.7682820728291317
AM,2.6163140122788007
AP,2.666140949554896
BA,2.6617025626464117
CE,2.695361901416696
DF,2.581089903846154
ES,2.629224727168294
GO,2.586236441436959
MA,2.723099025974026
MG,2.536719173200285
MS,2.7844975278121136
MT,2.9561684393734287
PA,2.7512356416147026
PB,2.5586093615185503
PE,2.6342966307745748
PI,2.5963441108545036
PR,2.5340058832327865
RJ,2.618700827394118
RN,2.588959881129272
RO,2.774761810373307
RR,2.8957013258897417
RS,2.764759125875839
SC,2.621138031319911
SE,2.560865702479339
SP,2.4695989257778144
TO,2.748158675799087
Total,2.5931373736381023
