Estado - Sigla,Valor de Venda - Media
AC,3.0416747159090907
AL,2.748935699226985
AM,2.539261155606407
AP,2.667871219512195
BA,2.654298071820272
CE,2.64745116807268
DF,2.542300806109461
ES,2.6602346577131133
GO,2.563946810035842
MA,2.666562247983871
MG,2.4993924404696184
MS,2.728384492406075
MT,2.7232215750822992
PA,2.811107383844226
PB,2.4718839035333704
PE,2.612254820333041
PI,2.621024117441454
PR,2.439906427406199
RJ,2.586080675892499
RN,2.6300631451123255
RO,2.754778046254746
RR,2.7556697038724374
RS,2.60778399712953
SC,2.5511527632455056
SE,2.540768439108062
SP,2.428017718062494
TO,2.7209609698403314
Total,2.5480629443494722
