Estado - Sigla,Valor de Venda - Media
AC,3.1964526627218937
AL,2.800997249508841
AM,2.8930169383189517
AP,2.8143536866359447
BA,2.775376470588235
CE,2.771964924114671
DF,2.839046153846154
ES,2.8900484590429847
GO,2.872847245283019
MA,2.7237310488058153
MG,2.8580656976970733
MS,2.766117595564634
MT,2.9162178631051754
PA,2.9428772753963592
PB,2.5730221114917473
PE,2.699416494133885
PI,2.670517543859649
PR,2.7225355560100906
RJ,2.885800595860339
RN,2.6964856007944387
RO,2.989459358687547
RR,2.8179007391763466
RS,2.80937499213787
SC,2.7450325535092084
SE,2.767171832884097
SP,2.669328551095009
TO,2.925240986717268
Total,2.7738099286889453
